MacBook-Pro-de-Josep:fso_pract3 Josep$ ps aux
USER              PID  %CPU %MEM      VSZ    RSS   TT  STAT STARTED      TIME COMMAND
root               87   0,0  0,0  2469844    916   ??  Ss   15sep15   0:00.24 /System/Library/PrivateFrameworks/Heimdal.framework
root               85   0,0  0,0  2469524    676   ??  Ss   15sep15   0:00.13 autofsd
root               84   0,0  0,0  2494024   2228   ??  Ss   15sep15   0:01.53 /usr/sbin/blued
_locationd         81   0,0  0,1  3581504  10220   ??  Ss   15sep15   1:08.13 /usr/libexec/locationd
root               79   0,0  0,1  2496568   5300   ??  Ss   15sep15   1:24.53 /usr/sbin/securityd -i
root               77   0,0  0,1  2511316  10252   ??  Ss   15sep15   0:55.16 /System/Library/CoreServices/launchservicesd
root               76   0,0  0,0  2478300   1600   ??  Ss   15sep15   0:11.98 /usr/sbin/httpd -D FOREGROUND
root               75   0,0  0,1  2498672   7040   ??  Ss   15sep15   0:33.17 /System/Library/PrivateFrameworks/ApplePushService.
root               73   0,0  0,0  2473064   1936   ??  Ss   15sep15   0:00.65 /usr/sbin/wirelessproxd
root               71   0,0  0,0  2496712   3112   ??  Us   15sep15   0:01.85 /System/Library/PrivateFrameworks/WirelessDiagnosti
root               70   0,0  0,1  2512864   4796   ??  Ss   15sep15   0:13.51 /System/Library/CoreServices/backupd.bundle/Content
root               68   0,0  0,0  2461336    204   ??  Ss   15sep15   0:00.02 /usr/libexec/wdhelper
root               67   0,0  0,0  2470824   1760   ??  Ss   15sep15   0:02.43 /System/Library/CoreServices/backupd.bundle/Content
root               66   0,0  0,1  2508524  11576   ??  Ss   15sep15   2:34.44 /usr/libexec/coreduetd
root               62   0,0  0,0  2494736   1688   ??  Ss   15sep15   0:02.33 /usr/libexec/diskarbitrationd
root               61   0,0  0,0  2469404    664   ??  Ss   15sep15   0:00.10 /System/Library/CoreServices/iconservicesagent
_iconservices      60   0,0  0,0  2502568   1384   ??  Ss   15sep15   0:00.54 /System/Library/CoreServices/iconservicesd
root               56   0,0  0,5  2695548  41456   ??  Ss   15sep15   6:09.64 /System/Library/Frameworks/CoreServices.framework/F
root               54   0,0  0,0  2475632   2912   ??  SNs  15sep15   0:02.16 /usr/libexec/warmd
root               53   0,0  0,2  2507944  13836   ??  Ss   15sep15   2:27.54 /usr/libexec/airportd
root               50   0,0  0,0  2494844   1936   ??  Ss   15sep15   0:21.46 /System/Library/CoreServices/powerd.bundle/powerd
root               49   0,0  0,1  2500596   5012   ??  Ss   15sep15   0:58.82 /usr/libexec/configd
_appleevents       48   0,0  0,0  2496532   3584   ??  Ss   15sep15   0:02.74 /System/Library/CoreServices/appleeventsd --server
root               46   0,0  0,1  2505200   8044   ??  Ss   15sep15   1:04.22 /System/Library/CoreServices/backupd.bundle/Content
root               45   0,0  0,0  2469016   1056   ??  Ss   15sep15   0:01.99 /usr/libexec/thermald
root               43   0,0  0,1  2813952   6212   ??  Ss   15sep15   1:02.86 /System/Library/Frameworks/CoreServices.framework/V
